Publication_Author,Publication_Journal,Publication_Year,Publication_ID,Taxa,Phylum,Class,Order,Family,Genus,Species,Broad_Group,Observed_ED,Predicted_ED,Assignment_Level,Assigned_Lookup_Name,Absolute_Error,APE,n_raw_records
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Balistes polylepis,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,polylepis,Teleostei,6.19,5.62,Broad group,Teleostei,0.57,9.2084006462,1
Callahan,Thesis--University of Alaska Fairbanks,2020,Callahan | Thesis--University of Alaska Fairbanks | 2020,Microgadus proximus,Chordata,Teleostei,Gadiformes,Gadidae,Microgadus,proximus,Teleostei,4.2,4.7,Family,Gadidae,0.5,11.9047619048,1
Callahan,Thesis--University of Alaska Fairbanks,2020,Callahan | Thesis--University of Alaska Fairbanks | 2020,Microstomus pacificus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,pacificus,Teleostei,3.1,5.8,Genus,Microstomus,2.7,87.0967741935,1
Campos et al.,Marine Ecology Progress Series,2021,Campos et al. | Marine Ecology Progress Series | 2021,Carcinus maenas,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,maenas,Crustacea,7.66,5.55,Family,Portunidae,2.11,27.545691906,3
Cardona et al.,PLOS One,2012,Cardona et al. | PLOS One | 2012,Pelagia noctiluca,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Pelagia,noctiluca,Cnidaria,0.41,0.7,Broad group,Cnidaria,0.29,70.7317073171,1
Cardona et al.,PLOS One,2012,Cardona et al. | PLOS One | 2012,Salpa maxima,Chordata,Thaliacea,Salpida,Salpidae,Salpa,maxima,Other invertebrates,0.43,3.0,Broad group,Other invertebrates,2.57,597.6744186047,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Anoplogaster cornuta,Chordata,Teleostei,Beryciformes,Anoplogastridae,Anoplogaster,cornuta,Teleostei,2.58,5.62,Broad group,Teleostei,3.04,117.8294573643,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Argyropelecus affinis,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,affinis,Teleostei,4.85,3.5,Genus,Argyropelecus,1.35,27.8350515464,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Argyropelecus lychnus,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,lychnus,Teleostei,3.56,3.5,Genus,Argyropelecus,0.06,1.6853932584,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Argyropelecus sladeni,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,sladeni,Teleostei,4.03,3.5,Genus,Argyropelecus,0.53,13.1513647643,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Bathylagus milleri,Chordata,Teleostei,Osmeriformes,Bathylagidae,Bathylagus,milleri,Teleostei,2.49,5.62,Broad group,Teleostei,3.13,125.702811245,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Bathylagus wesethi,Chordata,Teleostei,Osmeriformes,Bathylagidae,Bathylagus,wesethi,Teleostei,2.85,5.62,Broad group,Teleostei,2.77,97.1929824561,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Borostomias panamensis,Chordata,Teleostei,Stomiiformes,Stomiidae,Borostomias,panamensis,Teleostei,2.66,2.8,Family,Stomiidae,0.14,5.2631578947,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Cyclothone acclinidens,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,acclinidens,Teleostei,3.95,5.62,Broad group,Teleostei,1.67,42.2784810127,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Diaphus theta,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,theta,Teleostei,8.57,7.0,Family,Myctophidae,1.57,18.3197199533,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Idiacanthus antrostomus,Chordata,Teleostei,Stomiiformes,Stomiidae,Idiacanthus,antrostomus,Teleostei,3.08,2.8,Family,Stomiidae,0.28,9.0909090909,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Lampanyctus regalis,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,regalis,Teleostei,2.41,4.1,Genus,Lampanyctus,1.69,70.1244813278,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Lampanyctus ritteri,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,ritteri,Teleostei,6.94,4.1,Genus,Lampanyctus,2.84,40.9221902017,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Leuroglossus stilbius,Chordata,Teleostei,Osmeriformes,Bathylagidae,Leuroglossus,stilbius,Teleostei,3.9,5.62,Broad group,Teleostei,1.72,44.1025641026,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Melanostigma pammelas,Chordata,Teleostei,Perciformes,Zoarcidae,Melanostigma,pammelas,Teleostei,3.46,5.62,Broad group,Teleostei,2.16,62.4277456647,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Oneirodes acanthias,Chordata,Teleostei,Lophiiformes,Oneirodidae,Oneirodes,acanthias,Teleostei,1.57,5.62,Broad group,Teleostei,4.05,257.9617834395,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Poromitra crassiceps,Chordata,Teleostei,Stephanoberyciformes,Melamphaidae,Poromitra,crassiceps,Teleostei,1.67,5.62,Broad group,Teleostei,3.95,236.5269461078,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Sagamichthys abei,Chordata,Teleostei,Osmeriformes,Platytroctidae,Sagamichthys,abei,Teleostei,1.69,2.6,Family,Platytroctidae,0.91,53.8461538462,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Scopelengys tristis,Chordata,Teleostei,Myctophiformes,Neoscopelidae,Scopelengys,tristis,Teleostei,4.38,5.62,Broad group,Teleostei,1.24,28.3105022831,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Scopelogadus mizolepis,Chordata,Teleostei,Stephanoberyciformes,Melamphaidae,Scopelogadus,mizolepis,Teleostei,2.88,5.62,Broad group,Teleostei,2.74,95.1388888889,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Stenobrachius leucopsarus,Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,Teleostei,7.38,7.0,Family,Myctophidae,0.38,5.1490514905,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Sternoptyx obscura,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Sternoptyx,obscura,Teleostei,2.87,3.85,Family,Sternoptychidae,0.98,34.1463414634,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Stomias atriventer,Chordata,Teleostei,Stomiiformes,Stomiidae,Stomias,atriventer,Teleostei,4.17,2.8,Genus,Stomias,1.37,32.8537170264,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Talismania bifurcata,Chordata,Teleostei,Osmeriformes,Alepocephalidae,Talismania,bifurcata,Teleostei,1.46,2.2,Family,Alepocephalidae,0.74,50.6849315068,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Tarletonbeania crenularis,Chordata,Teleostei,Myctophiformes,Myctophidae,Tarletonbeania,crenularis,Teleostei,4.26,7.0,Family,Myctophidae,2.74,64.3192488263,1
Childress and Nygaard,Deep-Sea Research,1973,Childress and Nygaard | Deep-Sea Research | 1973,Triphoturus mexicanus,Chordata,Teleostei,Myctophiformes,Myctophidae,Triphoturus,mexicanus,Teleostei,6.99,7.0,Family,Myctophidae,0.01,0.1430615165,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Argyropelecus aculeatus,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,aculeatus,Teleostei,3.3,3.5,Genus,Argyropelecus,0.2,6.0606060606,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Avocettina infans,Chordata,Teleostei,Anguilliformes,Nemichthyidae,Avocettina,infans,Teleostei,2.27,5.62,Broad group,Teleostei,3.35,147.577092511,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Benthosema suborbitale,Chordata,Teleostei,Myctophiformes,Myctophidae,Benthosema,suborbitale,Teleostei,4.31,5.9,Genus,Benthosema,1.59,36.8909512761,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Bolinichthys distofax,Chordata,Teleostei,Myctophiformes,Myctophidae,Bolinichthys,distofax,Teleostei,3.74,7.0,Family,Myctophidae,3.26,87.1657754011,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Bolinichthys longipes,Chordata,Teleostei,Myctophiformes,Myctophidae,Bolinichthys,longipes,Teleostei,2.82,7.0,Family,Myctophidae,4.18,148.2269503546,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Centrobranchus choerocephalus,Chordata,Teleostei,Myctophiformes,Myctophidae,Centrobranchus,choerocephalus,Teleostei,4.01,7.0,Family,Myctophidae,2.99,74.5635910224,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Ceratoscopelus warmingi,Chordata,Teleostei,Myctophiformes,Myctophidae,Ceratoscopelus,warmingii,Teleostei,3.56,7.0,Family,Myctophidae,3.44,96.6292134831,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Chauliodus sloani,Chordata,Teleostei,Stomiiformes,Stomiidae,Chauliodus,sloani,Teleostei,1.89,2.8,Family,Stomiidae,0.91,48.1481481481,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Cyclothone alba,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,alba,Teleostei,2.69,5.62,Broad group,Teleostei,2.93,108.9219330855,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Cyclothone pallida,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,pallida,Teleostei,2.05,5.62,Broad group,Teleostei,3.57,174.1463414634,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Cyclothone pseudopallida,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,pseudopallida,Teleostei,2.46,5.62,Broad group,Teleostei,3.16,128.4552845528,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Cyema atrum,Chordata,Teleostei,Saccopharyngiformes,Cyematidae,Cyema,atrum,Teleostei,1.23,5.62,Broad group,Teleostei,4.39,356.9105691057,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Danaphos oculatus,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Danaphos,oculatus,Teleostei,4.13,3.85,Family,Sternoptychidae,0.28,6.7796610169,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Derichthys serpentinus,Chordata,Teleostei,Anguilliformes,Derichthyidae,Derichthys,serpentinus,Teleostei,4.05,5.62,Broad group,Teleostei,1.57,38.7654320988,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Diaphus brachycephalus,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,brachycephalus,Teleostei,3.97,7.0,Family,Myctophidae,3.03,76.322418136,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Diaphus mollis,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,mollis,Teleostei,3.15,7.0,Family,Myctophidae,3.85,122.2222222222,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Diaphus schmidti,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,schmidti,Teleostei,3.76,7.0,Family,Myctophidae,3.24,86.170212766,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Diplophos taenia,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Diplophos,taenia,Teleostei,4.29,5.62,Broad group,Teleostei,1.33,31.0023310023,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Evermannella indica,Chordata,Teleostei,Aulopiformes,Evermannellidae,Evermannella,indica,Teleostei,4.54,5.62,Broad group,Teleostei,1.08,23.7885462555,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Gigantura indica,Chordata,Teleostei,Aulopiformes,Giganturidae,Gigantura,indica,Teleostei,1.46,5.62,Broad group,Teleostei,4.16,284.9315068493,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Gonostoma atlanticum,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Gonostoma,atlanticum,Teleostei,5.09,5.62,Broad group,Teleostei,0.53,10.4125736739,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Gonostoma elongatum,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Gonostoma,elongatum,Teleostei,1.66,5.62,Broad group,Teleostei,3.96,238.5542168675,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Hygophum reinhardtii,Chordata,Teleostei,Myctophiformes,Myctophidae,Hygophum,reinhardtii,Teleostei,4.24,7.0,Family,Myctophidae,2.76,65.0943396226,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Lampanyctus niger,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,niger,Teleostei,2.43,4.1,Genus,Lampanyctus,1.67,68.7242798354,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Lampanyctus nobilis,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,nobilis,Teleostei,3.48,4.1,Genus,Lampanyctus,0.62,17.816091954,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Lampanyctus steinbecki,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,steinbecki,Teleostei,4.61,4.1,Genus,Lampanyctus,0.51,11.0629067245,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Lampanyctus tenuiformis,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,tenuiformis,Teleostei,4.36,4.1,Genus,Lampanyctus,0.26,5.9633027523,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Malacosteus niger,Chordata,Teleostei,Stomiiformes,Stomiidae,Malacosteus,niger,Teleostei,1.93,2.8,Family,Stomiidae,0.87,45.0777202073,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Myctophum selenops,Chordata,Teleostei,Myctophiformes,Myctophidae,Myctophum,selenops,Teleostei,3.22,7.0,Family,Myctophidae,3.78,117.3913043478,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Notolychnus valdiviae,Chordata,Teleostei,Myctophiformes,Myctophidae,Notolychnus,valdiviae,Teleostei,6.63,7.0,Family,Myctophidae,0.37,5.580693816,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Oneirodes acanthias,Chordata,Teleostei,Lophiiformes,Oneirodidae,Oneirodes,acanthias,Teleostei,0.97,5.62,Broad group,Teleostei,4.65,479.381443299,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Opisthoproctus soleatus,Chordata,Teleostei,Osmeriformes,Opisthoproctidae,Opisthoproctus,soleatus,Teleostei,2.78,5.62,Broad group,Teleostei,2.84,102.1582733813,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Rondeletia loricata,Chordata,Teleostei,Stephanoberyciformes,Rondeletiidae,Rondeletia,loricata,Teleostei,0.95,5.62,Broad group,Teleostei,4.67,491.5789473684,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Scopelogadus mizolepis,Chordata,Teleostei,Stephanoberyciformes,Melamphaidae,Scopelogadus,mizolepis,Teleostei,1.78,5.62,Broad group,Teleostei,3.84,215.7303370787,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Sigmops ebelingi,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Sigmops,ebelingi,Teleostei,2.41,5.62,Broad group,Teleostei,3.21,133.1950207469,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Sternoptyx diaphana,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Sternoptyx,diaphana,Teleostei,2.83,3.85,Family,Sternoptychidae,1.02,36.0424028269,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Taaningichthys bathyphilus,Chordata,Teleostei,Myctophiformes,Myctophidae,Taaningichthys,bathyphilus,Teleostei,3.44,7.0,Family,Myctophidae,3.56,103.488372093,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Taaningichthys minimus,Chordata,Teleostei,Myctophiformes,Myctophidae,Taaningichthys,minimus,Teleostei,4.19,7.0,Family,Myctophidae,2.81,67.0644391408,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Thysanactis dentex,Chordata,Teleostei,Stomiiformes,Stomiidae,Thysanactis,dentex,Teleostei,1.72,2.8,Family,Stomiidae,1.08,62.7906976744,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Triphoturus nigrescens,Chordata,Teleostei,Myctophiformes,Myctophidae,Triphoturus,nigrescens,Teleostei,3.67,7.0,Family,Myctophidae,3.33,90.7356948229,1
Childress et al.,Marine Biology,1990,Childress et al. | Marine Biology | 1990,Vinciguerria nimbaria,Chordata,Teleostei,Stomiiformes,Phosichthyidae,Vinciguerria,nimbaria,Teleostei,3.64,5.62,Broad group,Teleostei,1.98,54.3956043956,1
Ciancio et al.,Journal of Crustacean Biology,2007,Ciancio et al. | Journal of Crustacean Biology | 2007,Cyrtograpsus altimanus,Arthropoda,Malacostraca,Decapoda,Varunidae,Cyrtograpsus,altimanus,Crustacea,3.22,3.64,Family,Varunidae,0.42,13.0434782609,1
Ciancio et al.,Journal of Crustacean Biology,2007,Ciancio et al. | Journal of Crustacean Biology | 2007,Cyrtograpsus angulatus,Arthropoda,Malacostraca,Decapoda,Varunidae,Cyrtograpsus,angulatus,Crustacea,2.49,3.64,Family,Varunidae,1.15,46.1847389558,3
Ciancio et al.,Journal of Crustacean Biology,2007,Ciancio et al. | Journal of Crustacean Biology | 2007,Neohelice granulata,Arthropoda,Malacostraca,Decapoda,Varunidae,Neohelice,granulata,Crustacea,3.73,3.64,Family,Varunidae,0.09,2.4128686327,3
Ciancio et al.,Transactions of the American Fisheries Society,2007,Ciancio et al. | Transactions of the American Fisheries Society | 2007,Acetes petrunkevitchi,Arthropoda,Malacostraca,Decapoda,Acetidae,Acetes,petrunkevitchi,Crustacea,3.34,3.9,Broad group,Crustacea,0.56,16.7664670659,1
Ciancio et al.,Transactions of the American Fisheries Society,2007,Ciancio et al. | Transactions of the American Fisheries Society | 2007,Aulacomya atra,Mollusca,Bivalvia,Mytilida,Mytilidae,Aulacomya,atra,Mollusca (non-cephalopods),4.14,2.14,Broad group,Mollusca (non-cephalopods),2.0,48.309178744,1
Ciancio et al.,Transactions of the American Fisheries Society,2007,Ciancio et al. | Transactions of the American Fisheries Society | 2007,Eleginops maclovinus,Chordata,Teleostei,Perciformes,Nototheniidae,Eleginops,maclovinus,Teleostei,3.66,5.62,Broad group,Teleostei,1.96,53.5519125683,1
Ciancio et al.,Transactions of the American Fisheries Society,2007,Ciancio et al. | Transactions of the American Fisheries Society | 2007,Engraulis anchoita,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,anchoita,Teleostei,5.55,6.825,Genus,Engraulis,1.275,22.972972973,1
